地区ID,地区名,戦闘形式,人形ID,種類,人形,レベル,改造,リンク数,最大HP,会心率,会心ダメージ,破甲,火力,命中,回避,射速,防御,弾薬数,修理,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測 (1-Fairy),ダメージ予測 (2-Fairy),ダメージ予測 (3-Fairy),ダメージ予測 (4-Fairy),順位
714,初級4,昼戦,20055,AR,M4A1 Mod,120,3,5,565,68%,150%,15,98,58,58,100,15,0,0,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),8230,720,864,1008,1152,1
714,初級4,昼戦,20122,AR,Gr G11 Mod,120,3,5,620,68%,175%,15,96,66,51,97,0,0,0,200,1,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7851,686,824,961,1099,2
714,初級4,昼戦,20055,AR,M4A1 Mod,120,3,5,565,68%,150%,15,93,53,53,100,15,0,0,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7741,677,812,948,1083,3
714,初級4,昼戦,183,HG,コンテンダー,100,0,5,330,70%,150%,195,51,114,111,44,0,0,0,150,1,10,0,レッドサイト (5-Star),徹甲弾 (5-Star),X外骨格 (5-Star),4826,663,796,929,1061,4
714,初級4,昼戦,20114,HG,ウェルロッドMkⅡ Mod,120,3,5,410,40%,150%,8,51,87,146,52,5,0,0,200,1,10,10,SFライト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4799,659,791,923,1055,5
714,初級4,昼戦,183,HG,コンテンダー,100,0,5,330,70%,150%,195,49,110,107,44,0,0,0,100,0,10,0,レッドサイト (5-Star),徹甲弾 (5-Star),X外骨格 (5-Star),4726,649,779,909,1039,6
714,初級4,昼戦,20065,AR,416 Mod,120,3,5,620,45%,160%,15,117,73,75,79,0,0,0,200,1,10,10,専用装備 (5-Star),高速弾 (5-Star),専用装備 (5-Star),7401,647,777,906,1036,7
714,初級4,昼戦,20122,AR,Gr G11 Mod,120,3,5,620,68%,175%,15,91,61,47,97,0,0,0,100,0,10,10,オプティカル (5-Star),高速弾 (5-Star),専用装備 (5-Star),7407,648,777,907,1036,8
714,初級4,昼戦,20114,HG,ウェルロッドMkⅡ Mod,120,3,5,410,40%,150%,8,48,79,136,52,5,0,0,100,0,10,10,SFライト (5-Star),ホローポイント弾 (5-Star),専用装備 (5-Star),4570,628,754,879,1005,9
714,初級4,昼戦,20221,HG,GSh-18 Mod,120,3,5,370,50%,150%,50,55,81,124,61,0,0,0,200,1,10,10,レッドサイト (5-Star),専用装備 (5-Star),X外骨格 (5-Star),4520,621,745,870,994,10
