ID,名称,番号
-1,reg_time,2018-08-12 22:19:55
item-10,代用コア,3285
item-31,初級訓練資料,3936
item-32,中級訓練資料,3697
item-33,上級訓練資料,2421
-1,kalina_level,30
-1,kalina_favor,384137
item-1,人形製造契約,1039
item-2,装備製造契約,1489
item-3,快速製造契約,1384
item-4,快速修復契約,10725
item-5,一時停止毎日許可,1
item-7,誓約の証,17
item-8,快速訓練契約,431
item-9,増幅カプセル,4798
item-11,パスワードカード,0
item-12,ポイント,0
item-13,改名カード,5
item-14,原始サンプル,306
item-15,純正サンプル,508
item-16,快速解析契約,1749
item-17,データパッチ,629
item-41,コイン,2103
item-42,引換券,0
item-43,ブラックカード,33
item-44,較正チケット,3023
item-45,記憶の欠片,2584
item-46,特種作戦報告書,12846
item-47,局地戦区素材,17084
item-50,汎用部品,2418
item-51,新型射撃管制モジュール,42
item-53,ガチャ券,54
item-100,グリフィン・エリート勲章,9
item-101,戦闘ランキング勲章,128
item-103,挑戦者勲章,33
item-104,エリートの奇妙な冒険勲章,6
item-106,ラフベリー勲章,43
item-109,第八戦区開拓者勲章,1
item-110,第八戦区征服者勲章,1
item-114,第九戦区開拓者勲章,1
item-115,第九戦区征服者勲章,1
item-117,エクリプス観測者,1
item-118,金マイクの勲章,1
item-119,第十戦区開拓者勲章,1
item-301,中枢データ：BGM-71,0
item-302,中枢データ：AGS-30,0
item-303,中枢データ：2B14,0
item-304,中枢データ：M2,0
item-305,中枢データ：AT4,0
item-306,中枢データ：QLZ-04,0
item-307,中枢データ：Mk 153,0
item-308,中枢データ:PP93,60
item-506,バッテリー,8814
item-507,トータル経験値,2868
item-508,友情ポイント,88190
item-509,妖精指令,200
item-510,模擬作戦超伝導AP,0
item-512,超星コア,1690
item-513,暗星コア,117675
item-514,開発シャーレ,5104
item-515,初級訓練ディスク,45239
item-516,上級訓練ディスク,23480
item-517,指定装備契約,0
item-519,重装部隊汎用データ,424
item-520,フラググレネード,11
item-521,フラッシュバングレネード,14
item-522,タレット,9
item-523,G&K,1
item-524,投擲型ゴリアテ,38
item-525,快速自律契約,876
