Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-02 00:08:39,GUN,NORMAL,130/130/130/30,SMG,92,スペクトラM4,★★
2020-09-02 00:08:39,GUN,NORMAL,130/130/130/30,SMG,24,PP-2000,★★
2020-09-02 00:08:39,GUN,NORMAL,130/130/130/30,HG,12,C96,★★★
2020-09-02 00:08:39,GUN,NORMAL,130/130/130/30,HG,2,M1911,★★
2020-09-02 00:09:20,EQUIP,NORMAL,120/92/60/152,NIGHTEQUIP,13,PEQ-2,★★
2020-09-02 00:09:20,EQUIP,NORMAL,120/92/60/152,NIGHTEQUIP,13,PEQ-2,★★
2020-09-02 00:09:20,EQUIP,NORMAL,120/92/60/152,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-02 00:09:20,EQUIP,NORMAL,120/92/60/152,SUPPRESSOR,63,AC1サイレンサー,★★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2外骨格,★★★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,★★★★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2外骨格,★★★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,★★★★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,★★★★★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2外骨格,★★★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,守護妖精,★
2020-09-02 00:09:23,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,障壁妖精,★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,TEXO,39,IOP T3外骨格,★★★★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,★★★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,★★★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type1防弾ベスト,★★★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3サイレンサー,★★★★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,★★★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2外骨格,★★★
2020-09-02 07:42:01,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,★★★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,★★★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,守護妖精,★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2サイレンサー,★★★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,FAIRY,25,双子妖精,★
2020-09-02 19:01:14,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3サイレンサー,★★★★
2020-09-02 21:24:19,GUN,NORMAL,130/130/130/30,HG,5,M1895,★★
2020-09-02 21:24:19,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2020-09-02 21:24:19,GUN,NORMAL,130/130/130/30,HG,139,ブレン・テン,★★
2020-09-02 21:24:19,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2020-09-02 21:24:24,GUN,NORMAL,130/130/130/30,HG,141,Gr USPコンパクト,★★
2020-09-02 21:24:25,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★
2020-09-02 21:24:25,GUN,NORMAL,130/130/130/30,HG,8,マカロフ,★★★
2020-09-02 21:24:25,GUN,NORMAL,130/130/130/30,HG,141,Gr USPコンパクト,★★
2020-09-02 21:24:29,GUN,NORMAL,130/130/130/30,HG,5,M1895,★★
2020-09-02 21:24:29,GUN,NORMAL,130/130/130/30,HG,12,C96,★★★
2020-09-02 21:24:29,GUN,NORMAL,130/130/130/30,HG,269,Gr P30,★★★★
