地区ID,地区名,戦闘形式,人形ID,種類,人形,レベル,改造,リンク数,最大HP,会心率,会心ダメージ,破甲,火力,命中,回避,射速,防御,弾薬数,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測 (1-Fairy),ダメージ予測 (2-Fairy),ダメージ予測 (3-Fairy),ダメージ予測 (4-Fairy),順位
714,初級4,昼戦,56,AR,M4 SOPMOD II,90,0,5,525,70%,150%,15,62,83,44,76,0,0,100,0,4,0,レッドサイト (4-Star),レッドサイト (5-Star),高速弾 (4-Star),4377,382,459,536,612,1
714,初級4,昼戦,55,AR,M4A1,90,0,5,525,34%,100%,15,65,47,54,93,0,0,100,0,3,0,サイレンサー (4-Star),高速弾 (3-Star),チップ (4-Star),3991,349,419,488,558,2
714,初級4,昼戦,57,AR,ST AR-15,90,0,5,500,34%,150%,15,50,48,54,75,0,0,100,0,3,0,サイレンサー (3-Star),サイレンサー (2-Star),高速弾 (2-Star),3374,295,354,413,472,3
714,初級4,昼戦,27,SMG,スコーピオン,70,0,4,540,5%,100%,13,30,11,66,94,0,0,100,0,1,0,チップ (3-Star),ホローポイント弾 (3-Star),-,2291,206,247,288,329,4
714,初級4,昼戦,26,SMG,Gr MP5,70,0,4,568,5%,150%,13,30,11,60,82,0,0,100,0,1,0,T外骨格 (2-Star),ホローポイント弾 (3-Star),-,2244,168,201,235,269,5
714,初級4,昼戦,54,AR,M16A1,58,0,3,288,20%,150%,15,37,29,27,66,4,0,50,0,1,0,高速弾 (2-Star),防弾ベスト (3-Star),-,1357,118,142,166,189,6
714,初級4,昼戦,37,RF,M14,71,0,4,288,50%,150%,60,88,53,24,40,0,0,70,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2307,115,138,161,184,7
714,初級4,昼戦,10,HG,PPK,34,0,3,114,30%,150%,15,15,25,46,49,0,0,36,0,1,0,サイレンサー (3-Star),-,-,666,109,131,153,175,8
714,初級4,昼戦,6,HG,トカレフ,41,0,3,183,30%,150%,15,20,24,36,43,0,0,52,0,1,0,サイレンサー (3-Star),-,-,798,109,131,153,175,9
714,初級4,昼戦,12,HG,C96,40,0,3,174,30%,150%,15,19,20,34,51,0,0,50,0,1,0,サイレンサー (3-Star),-,-,777,106,128,149,170,10
714,初級4,昼戦,36,RF,スプリングフィールド,70,0,4,284,50%,150%,60,103,53,34,29,0,0,52,0,1,0,徹甲弾 (2-Star),サイレンサー (3-Star),-,2132,106,127,149,170,11
