ID,図鑑番号,種類,レアリティ,人形,レベル,累計経験値,現在経験値,必要経験値,リンク数,MOD,最大HP,HP,火力,命中,回避,射速,移動速度,防御,弾約数,会心率,スキル1,スキル2,装備1,装備2,装備3,好感度,誓約,誓約日,ロック
318574423,5,HG,★★,M1895,30,47369,2969,1231,x3,,135,135,18,18,35,34,15,0,0,20,1,0,,,,57,,,ロック
318575956,90,HG,★★,FF FNP9,31,51292,0,0,x3,,117,117,17,21,33,48,15,0,0,20,1,0,,,,31,,,ロック
318575963,10,HG,★★,PPK,34,65047,0,0,x3,,114,114,15,25,42,49,15,0,0,20,1,0,AC2サイレンサー,,,36,,,ロック
318575967,71,AR,★★,ガリル,24,28906,0,0,x2,,130,130,25,15,14,49,10,0,0,20,1,0,,,,47,,,ロック
318575990,29,SMG,★★★,ステンMK-II,44,147040,3040,8060,x3,,399,399,17,8,38,64,12,0,0,5,1,0,エクスペリメンタル・プロセッサ,,,67,,,ロック
318576035,37,RF,★★★,M14,71,777551,28051,18749,x4,,288,288,88,53,20,40,7,0,0,40,1,0,,,,70,,,ロック
318620802,94,SMG,★★,64式,32,55214,0,0,x3,,348,348,16,5,27,74,12,0,0,5,1,0,,,,60,,,ロック
318621805,27,SMG,★★★,スコーピオン,70,740067,35667,9433,x4,,540,540,19,10,62,86,12,0,0,5,1,0,IOP T1外骨格,ILMホローポイント弾,,100,,,ロック
318623563,105,AR,★★★,OTs-12,35,70936,0,0,x3,,213,213,25,24,24,57,10,0,0,20,1,0,,,,51,,,ロック
318624513,18,SMG,★★★,イングラム,31,49597,0,0,x3,,345,345,17,5,27,72,12,0,0,5,1,0,,,,60,,,ロック
318636114,61,AR,★★★,StG44,36,81251,5551,1149,x3,,258,258,31,20,16,48,10,0,0,20,1,0,,,,100,,,ロック
318637606,55,AR,★★★★,M4A1,90,2016308,40908,71692,x5,,525,525,44,44,44,77,10,0,0,20,3,0,EOT 506,JHP高速弾,#1プロセッサ,100,,,ロック
318639832,3,HG,★★★,M9,1,0,0,0,x1,,38,38,11,8,9,42,15,0,0,20,1,0,,,,50,,,ロック
318675861,77,MG,★★★,M2HB,1,0,0,0,x1,,108,108,42,3,3,72,4,0,10,5,1,0,,,,50,,,ロック
318675915,70,AR,★★★,FF FNC,14,9144,0,0,x2,,126,126,24,12,10,53,10,0,0,20,1,0,,,,50,,,ロック
318691392,148,RF,★★★★★,IWS 2000,1,0,0,0,x1,,44,44,55,9,4,21,7,0,0,40,1,0,,,,50,,,ロック
318718023,44,RF,★★★,SV-98,36,82302,6602,98,x3,,171,171,72,33,13,30,7,0,0,40,1,0,,,,65,,,ロック
318722030,56,AR,★★★★,M4 SOPMOD II,90,2019050,43650,68950,x5,,525,525,47,45,41,76,10,0,0,20,4,0,RMR T4レッドサイト,AC3サイレンサー,,100,,,ロック
318959412,61,AR,★★★,StG44,1,0,0,0,x1,,64,64,19,6,5,41,10,0,0,20,1,0,,,,50,,,ロック
318959544,44,RF,★★★,SV-98,1,0,0,0,x1,,42,42,45,10,4,25,7,0,0,40,1,0,,,,50,,,ロック
320970600,57,AR,★★★★,ST AR-15,90,2016301,40901,71699,x5,,500,500,45,45,45,75,10,0,0,20,3,0,RMT T2レッドサイト,AC2サイレンサー,JSP高速弾,100,,,ロック
320970610,6,HG,★★★,トカレフ,41,122926,8626,674,x3,,183,183,20,24,32,43,15,0,0,20,1,0,,,,52,,,ロック
320971366,348,RF,★★★★★,HS.50,1,0,0,0,x1,,44,44,54,10,4,22,7,0,0,40,4,0,,,,50,,,ロック
320974665,12,HG,★★★,C96,40,107480,0,0,x3,,174,174,19,20,30,51,15,0,0,20,1,0,,,,50,,,ロック
320977440,16,SMG,★★★★★,トンプソン,1,0,0,0,x1,,119,119,12,2,8,57,12,0,0,5,1,0,,,,50,,,ロック
320981695,26,SMG,★★★★,Gr MP5,70,731003,26603,18497,x4,,568,568,25,10,51,82,12,0,0,5,1,0,IOP T1外骨格,ILMホローポイント弾,,100,,,ロック
320982749,75,MG,★★★★,M1918,58,371795,4795,17505,x3,,372,372,70,20,21,98,4,0,8,5,2,0,,,,50,,,ロック
320983052,54,AR,★★★★,M16A1,58,375720,8720,13580,x3,,288,288,35,29,28,66,10,0,0,20,1,0,,Type1防弾ベスト,,50,,,ロック
320983598,162,SG,★★★★,SPAS-12,67,608848,4048,27952,x3,,690,690,27,8,7,29,6,15,4,40,1,0,Type1防弾ベスト,,,50,,,ロック
320985296,36,RF,★★★★,スプリングフィールド,70,711586,7186,37914,x4,,284,284,103,53,30,29,7,0,0,40,1,0,,,,52,,,ロック
320985601,2,HG,★★,M1911,1,0,0,0,x1,,37,37,10,6,9,38,15,0,0,20,1,0,,,,50,,,
320986407,51,RF,★★,FF FN49,35,70120,0,0,x3,,189,189,65,27,14,26,7,0,0,40,1,0,,,,50,,,ロック
321045461,12,HG,★★★,C96,1,0,0,0,x1,,42,42,12,6,9,44,15,0,0,20,1,0,,,,50,,,ロック
321109144,133,AR,★★,63式,1,0,0,0,x1,,50,50,19,5,5,50,10,0,0,20,1,0,,,,50,,,ロック
321117865,349,AR,★★★★,AK74M,1,0,0,0,x1,,55,55,17,7,5,48,10,0,0,20,1,0,,,,50,,,ロック
321117866,60,AR,★★★★,AS Val,1,0,0,0,x1,,66,66,15,6,7,52,10,0,0,20,1,0,,,,50,,,
321118035,63,AR,★★,Gr G3,1,0,0,0,x1,,55,55,20,6,5,41,10,0,0,20,1,0,,,,50,,,
321118080,82,MG,★★,DP28,1,0,0,0,x1,,71,71,31,4,4,76,4,0,9,5,1,0,,,,50,,,
321118116,25,SMG,★★,MP40,1,0,0,0,x1,,93,93,11,2,8,52,12,0,0,5,1,0,,,,50,,,
321118165,74,AR,★★,SIG-510,1,0,0,0,x1,,58,58,20,5,5,39,10,0,0,20,1,0,,,,50,,,
321118214,17,SMG,★★,M3,1,0,0,0,x1,,93,93,11,2,9,46,12,0,0,5,1,0,,,,50,,,
321118391,40,RF,★★,SVT-38,1,0,0,0,x1,,42,42,43,8,5,24,7,0,0,40,1,0,,,,50,,,
321118502,47,RF,★★,G43,1,0,0,0,x1,,40,40,41,8,4,27,7,0,0,40,1,0,,,,50,,,
321118953,63,AR,★★,Gr G3,1,0,0,0,x1,,55,55,20,6,5,41,10,0,0,20,1,0,,,,50,,,
321118993,9,HG,★★,P38,1,0,0,0,x1,,33,33,10,6,10,38,15,0,0,20,1,0,,,,50,,,
