ID,図鑑番号,種類,レアリティ,装備,装備人形 ID,装備人形,火力,命中,回避,移動速度,射速,会心率,会心ダメージ,破甲,防御,シールド,被害増幅,被害軽減,暗視能力,弾薬数,装備経験値,強化レベル,EQUIP_INFO_ADJUST_MAX,校正回数,ロック
67598439,37,T外骨格,★★,IOP T1外骨格,320981695,Gr MP5,-1.5217,-,7.4890,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
67599700,223,レッドサイト,★★★★,RMT T2レッドサイト,320970600,ST AR-15,-,7.143,-,-,-,9.8094%,-,-,-,-,-,-,-,-,0,0,,0,
67599701,65,サイレンサー,★★★★,AC3サイレンサー,318722030,M4 SOPMOD II,-,-,4.4262,-,-,9.5490%,-,-,-,-,-,-,-,-,0,0,,0,
67610457,17,徹甲弾,★★,M61徹甲弾,-,-,-,-,-,-,-,-,-,47.2370,-,-,-,-,-,-,0,0,,0,
67610458,70,ホローポイント弾,★★★,ILMホローポイント弾,-,-,2.5131,-,-,-,-,-,-,-2.6012,-,-,-,-,-,-,0,0,,0,
67614613,69,ホローポイント弾,★★,ILMホローポイント弾,-,-,1.0000,-,-,-,-,-,-,-1.0000,-,-,-,-,-,-,0,0,MAX,0,
67614614,232,チップ,★★★,エクスペリメンタル・プロセッサ,318575990,ステンMK-II,2.4736,-,-,-,3.7548,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
67618335,228,特殊貫通弾,★★★★,Mk900SLAP,-,-,-,-,-,-,-5.0000,-,-,194.5440,-,-,-,-,-,-,0,0,,0,
67618336,31,高速弾,★★★★,JHP高速弾,318637606,M4A1,5.9994,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
67620623,70,ホローポイント弾,★★★,ILMホローポイント弾,318621805,スコーピオン,2.1892,-,-,-,-,-,-,-2.6941,-,-,-,-,-,-,0,0,,0,
67620624,63,サイレンサー,★★,AC1サイレンサー,-,-,-,-,2.0000,-,-,4.4513%,-,-,-,-,-,-,-,-,0,0,,0,
67621124,77,スラッグ弾,★★,BKスラッグ弾,-,-,-,1.1531,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
67621875,75,バックショット,★★★★,#00バックショット,-,-,4.3664,-,-,-,-,-,8.0872%,-,-,-,-,-,-,-,0,0,,0,
67622120,73,バックショット,★★,#1バックショット,-,-,1.0000,-,-,-,-,-,3.062%,-,-,-,-,-,-,-,0,0,,0,
67654251,30,高速弾,★★★,JSP高速弾,320970600,ST AR-15,3.4832,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
67654252,55,X外骨格,★★,IOP X1外骨格,-,-,-,-,2.5837,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
68304050,77,スラッグ弾,★★,BKスラッグ弾,-,-,-,1.4901,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
68304051,69,ホローポイント弾,★★,ILMホローポイント弾,-,-,1.0000,-,-,-,-,-,-,-1.0000,-,-,-,-,-,-,0,0,MAX,0,
68304052,89,カモフラージュマント,★★★★,都市迷彩マント,-,-,-,-,-,-3.0000,-,-,8.3758%,-,-,-,-,-,-,-,0,0,,0,
68304053,42,防弾ベスト,★★★,Type1防弾ベスト,320983052,M16A1,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68304425,64,サイレンサー,★★★,AC2サイレンサー,-,-,-,-,3.000,-,-,6.6504%,-,-,-,-,-,-,-,-,0,0,,0,
68304426,64,サイレンサー,★★★,AC2サイレンサー,318575963,PPK,-,-,3.0000,-,-,6.3678%,-,-,-,-,-,-,-,-,0,0,,0,
68304939,69,ホローポイント弾,★★,ILMホローポイント弾,-,-,1.0000,-,-,-,-,-,-,-1.000,-,-,-,-,-,-,0,0,MAX,0,
68304940,74,バックショット,★★★,#0バックショット,-,-,2.1784,-,-,-,-,-,5.5763%,-,-,-,-,-,-,-,0,0,,0,
68305618,69,ホローポイント弾,★★,ILMホローポイント弾,320981695,Gr MP5,1.0000,-,-,-,-,-,-,-1.0000,-,-,-,-,-,-,0,0,MAX,0,
68305619,233,チップ,★★★★,#1プロセッサ,318637606,M4A1,4.6092,-,-,-,8.6632,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
68306885,15,暗視装備,★★★★,PEQ-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.1107%,-,0,0,,0,
68306886,63,サイレンサー,★★,AC1サイレンサー,-,-,-,-,2.0000,-,-,4.4742%,-,-,-,-,-,-,-,-,0,0,,0,
68307841,229,特殊貫通弾,★★★★★,Mk1000SLAP,-,-,-,-,-,-,-5.0000,-,-,244.0150,-,-,-,-,-,-,0,0,,0,
68307842,224,レッドサイト,★★★★★,RMR T4レッドサイト,318722030,M4 SOPMOD II,-,10.4582,-,-,-,13.5888%,-,-,-,-,-,-,-,-,0,0,,0,
68308010,1,オプティカル,★★,BM 3-12X40,-,-,-,-,-,-,-,5.8796%,-,-,-,-,-,-,-,-,0,0,,0,
68308020,1,オプティカル,★★,BM 3-12X40,-,-,-,-,-,-,-,5.8691%,-,-,-,-,-,-,-,-,0,0,,0,
68308035,9,ドットサイト,★★,AMP COMPM2,-,-,-,2.321,-,-,-1.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
68308039,5,ホロサイト,★★,EOT 506,318637606,M4A1,1.0000,1.0000,-,-,-1.0000,-,-,-,-,-,-,-,-,-,0,0,MAX,0,
68308053,29,高速弾,★★,FMJ高速弾,-,-,2.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,
68308061,37,T外骨格,★★,IOP T1外骨格,318621805,スコーピオン,-1.2941,-,6.7756,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
68308079,13,暗視装備,★★,PEQ-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.812%,-,0,0,,0,
68308081,17,徹甲弾,★★,M61徹甲弾,-,-,-,-,-,-,-,-,-,49.9090,-,-,-,-,-,-,0,0,,0,
68308082,1,オプティカル,★★,BM 3-12X40,-,-,-,-,-,-,-,6.1124%,-,-,-,-,-,-,-,-,0,0,,0,
68308198,14,暗視装備,★★★,PEQ-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70%,-,1,0,MAX,0,
68308199,1,オプティカル,★★,BM 3-12X40,-,-,-,-,-,-,-,8%,-,-,-,-,-,-,-,-,1,0,MAX,0,
68308200,1,オプティカル,★★,BM 3-12X40,-,-,-,-,-,-,-,8%,-,-,-,-,-,-,-,-,1,0,MAX,0,
68308202,73,バックショット,★★,#1バックショット,-,-,1.0000,-,-,-,-,-,3.6871%,-,-,-,-,-,-,-,0,0,,0,
68308203,64,サイレンサー,★★★,AC2サイレンサー,320970600,ST AR-15,-,-,3.0000,-,-,6.1392%,-,-,-,-,-,-,-,-,0,0,,0,
68323577,29,高速弾,★★,FMJ高速弾,-,-,2.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,
68323578,29,高速弾,★★,FMJ高速弾,-,-,2.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,MAX,0,
68336142,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68336143,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68336432,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68336433,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68341288,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68341289,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68349148,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68349149,42,防弾ベスト,★★★,Type1防弾ベスト,320983598,SPAS-12,-,-,-1.000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68352412,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
68352413,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.000,-,-,-,-,-,0,0,MAX,0,
