ID,名称,番号
-1,reg_time,2022-03-22 23:26:58
item-10,代用コア,155
item-31,初級訓練資料,854
item-32,中級訓練資料,1262
item-33,上級訓練資料,1120
-1,kalina_level,0
-1,kalina_favor,0
item-1,人形製造契約,51
item-2,装備製造契約,25
item-3,快速製造契約,46
item-4,快速修復契約,67
item-8,快速訓練契約,5
item-9,増幅カプセル,119
item-16,快速解析契約,1
item-41,コイン,283
item-44,較正チケット,200
item-45,記憶の欠片,100
item-50,汎用部品,2
item-506,バッテリー,75
item-507,トータル経験値,15000
item-508,友情ポイント,1190
item-516,上級訓練ディスク,500
item-525,快速自律契約,8
item-601,ランダム染色剤,4
item-602,カラー指定染色剤,1
item-603,模擬作戦基礎PE,12
item-604,電子パルス,9
item-2013,アイコン：星光の誕生,1
item-2014,アイコン：酒を手に唄う,1
item-2015,アイコン：願いを背負いし独行者,1
item-2016,アイコン：最高のパートナー,1
item-2017,アイコン：逆風の旅立ち,1
item-2018,アイコン：無垢なる忠実な友,1
item-2019,IDカード背景：幕を開ける者,1
item-4001,都市の贈り物,625
item-4002,雪原の贈り物,396
item-4003,森林の贈り物,303
item-4004,荒野の贈り物,327
item-6001,普通の肉まん,0
item-6003,プレミアム肉まん,1
item-6006,お二人様お幸せセット,0
item-6007,1ピースのチーズケーキ,1
item-6009,スウィーツの宝箱,0
item-6010,「Baby B-A-B-Y.」,1
item-6011,屋台のおでん,2
item-6012,野生蜂蜜セット,1
item-6013,アイス劇場,1
item-10603,模擬作戦超伝導PE,5
item-100131,新星勲章・写真館の謎,1
item-110018,イベントポイント,920
gift-100001,ロリポップ,2
gift-100002,アイスクリーム,10
gift-100003,ショートケーキ,6
gift-200001,作戦報告書,1050
furniture-10101,簡易作業台,1
furniture-10200,埃を被った猫用ケージ,0
furniture-10300,埃を被った犬用ケージ,0
furniture-10400,埃を被った止まり木,0
furniture-10500,埃を被った多機能恒温ボックス,0
furniture-20100,埃だらけのデスク,0
furniture-20200,埃を被ったコンソール,0
furniture-20300,埃を被った操作ステーション,0
furniture-20400,埃を被った作業机,0
furniture-20500,埃を被ったコンピューター,0
furniture-20600,埃を被ったテレックス,0
furniture-20700,思い出の本棚,0
furniture-30100,荒れた谷,0
furniture-30200,埃を被った鉄道模型,0
furniture-30300,倉庫模型の基礎,0
furniture-30400,真っ白な天気システム,0
furniture-40009,ラフベリーチェス,0
furniture-40023,コーヒーマシン,0
furniture-40024,レコードプレーヤー,0
furniture-40026,ノート,0
furniture-40027,映写機,0
furniture-40028,本棚,0
furniture-50100,埃を被った傍受設備,0
furniture-50200,埃を被ったブリーフィングステーション,0
furniture-50300,埃を被った記録機,0
furniture-50400,埃を被った解析機,0
furniture-60100,保管庫,0
furniture-60200,簡易メンテナンス装置,0
furniture-60300,総合室内訓練場,0
furniture-60400,エレベーター-重装兵舎へ,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-70100,エレベーター-格納庫へ,0
furniture-80007,ライブモニター,0
furniture-80011,ブラックマーケット,0
furniture-80107,自動化ゲートコンソール,7
furniture-80302,中級戦利品収納棚,2
furniture-90100,パルス生成炉,0
furniture-90200,戦術チップ開発ステーション,0
furniture-90400,潜在転移駆動装置,0
