地区ID,地区名,戦闘形式,人形ID,種類,人形,好感度,誓約,スキル1,スキル2,装備1,装備2,装備3,作戦能力,ダメージ予測,順位
714,初級4,昼戦,20055,AR,M4A1 Mod,200,1,10,10,オプティカル,高速弾,専用装備,8492,743,1
714,初級4,昼戦,20055,AR,M4A1 Mod,100,0,10,10,オプティカル,高速弾,専用装備,7988,698,2
714,初級4,昼戦,183,HG,コンテンダー,150,1,10,0,サイレンサー,徹甲弾,T外骨格,4861,668,3
714,初級4,昼戦,20065,AR,416 Mod,200,1,10,10,専用装備,高速弾,専用装備,7594,664,4
714,初級4,昼戦,183,HG,コンテンダー,100,0,10,0,サイレンサー,徹甲弾,T外骨格,4756,653,5
714,初級4,昼戦,20065,AR,416 Mod,100,0,10,10,専用装備,高速弾,専用装備,7200,630,6
714,初級4,昼戦,20221,HG,GSh-18 Mod,200,1,10,10,サイレンサー,専用装備,T外骨格,4570,628,7
714,初級4,昼戦,20097,HG,M950A Mod,200,1,10,10,サイレンサー,ホローポイント弾,X外骨格,4535,623,8
714,初級4,昼戦,20114,HG,gun-10020114 Mod,200,1,10,10,サイレンサー,ホローポイント弾,T外骨格,4527,622,9
714,初級4,昼戦,20007,HG,スチェッキン Mod,200,1,10,10,専用装備,ホローポイント弾,専用装備,4414,606,10
714,初級4,昼戦,54,AR,M16A1,150,1,10,0,高速弾,防弾ベスト,専用装備,6853,599,11
714,初級4,昼戦,20221,HG,GSh-18 Mod,100,0,10,10,サイレンサー,専用装備,T外骨格,4328,595,12
714,初級4,昼戦,20097,HG,M950A Mod,100,0,10,10,サイレンサー,ホローポイント弾,X外骨格,4305,591,13
714,初級4,昼戦,20114,HG,gun-10020114 Mod,100,0,10,10,サイレンサー,ホローポイント弾,T外骨格,4305,591,14
714,初級4,昼戦,20008,HG,gun-10020008 Mod,200,1,10,10,専用装備,ホローポイント弾,X外骨格,4297,590,15
714,初級4,昼戦,347,SMG,gun-10000347,150,1,10,0,T外骨格,徹甲弾,ドットサイト,7863,589,16
714,初級4,昼戦,20220,HG,gun-10020220 Mod,200,1,10,10,サイレンサー,ホローポイント弾,T外骨格,4241,583,17
714,初級4,昼戦,54,AR,M16A1,100,0,10,0,高速弾,防弾ベスト,専用装備,6668,583,18
714,初級4,昼戦,20001,HG,コルトSAA Mod,200,1,10,10,専用装備,ホローポイント弾,T外骨格,4220,580,19
714,初級4,昼戦,20012,HG,C96 Mod,200,1,10,10,サイレンサー,ホローポイント弾,T外骨格,4197,577,20
714,初級4,昼戦,20122,AR,gun-10020122 Mod,200,1,10,10,オプティカル,高速弾,X外骨格,6601,577,21
714,初級4,昼戦,20007,HG,スチェッキン Mod,100,0,10,10,専用装備,ホローポイント弾,専用装備,4199,577,22
714,初級4,昼戦,347,SMG,gun-10000347,100,0,10,0,T外骨格,徹甲弾,ドットサイト,7691,576,23
714,初級4,昼戦,213,SMG,C-MS,150,1,10,0,T外骨格,徹甲弾,ドットサイト,7576,568,24
714,初級4,昼戦,62,AR,Gr G41,150,1,10,0,オプティカル,高速弾,専用装備,6486,567,25
714,初級4,昼戦,10,HG,PPK,150,1,10,0,専用装備,ホローポイント弾,X外骨格,3420,564,26
714,初級4,昼戦,20008,HG,gun-10020008 Mod,100,0,10,10,専用装備,ホローポイント弾,X外骨格,4086,561,27
714,初級4,昼戦,1027,AR,アンジェリカ,150,1,10,0,オプティカル,高速弾,専用装備,6410,560,28
714,初級4,昼戦,115,SMG,スオミ,150,1,10,0,T外骨格,ホローポイント弾,ドットサイト,6220,559,29
714,初級4,昼戦,20057,AR,ST AR-15 Mod,200,1,10,10,オプティカル,オプティカル,専用装備,6374,557,30
714,初級4,昼戦,20026,SMG,Gr MP5 Mod,200,1,10,10,専用装備,ホローポイント弾,専用装備,7423,556,31
714,初級4,昼戦,62,AR,Gr G41,100,0,10,0,オプティカル,高速弾,専用装備,6339,554,32
714,初級4,昼戦,213,SMG,C-MS,100,0,10,0,T外骨格,徹甲弾,ドットサイト,7391,554,33
714,初級4,昼戦,13,HG,92式,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3346,552,34
714,初級4,昼戦,20056,AR,M4 SOPMOD II Mod,200,1,10,10,オプティカル,専用装備,高速弾,6304,551,35
714,初級4,昼戦,330,AR,FX-05,150,1,10,0,オプティカル,高速弾,T外骨格,5251,551,36
714,初級4,昼戦,20001,HG,コルトSAA Mod,100,0,10,10,専用装備,ホローポイント弾,T外骨格,4010,551,37
714,初級4,昼戦,20220,HG,gun-10020220 Mod,100,0,10,10,サイレンサー,ホローポイント弾,T外骨格,4011,551,38
714,初級4,昼戦,20101,SMG,UMP9 Mod,200,1,10,10,専用装備,ホローポイント弾,専用装備,7340,550,39
714,初級4,昼戦,10,HG,PPK,100,0,10,0,専用装備,ホローポイント弾,X外骨格,3333,549,40
714,初級4,昼戦,20012,HG,C96 Mod,100,0,10,10,サイレンサー,ホローポイント弾,T外骨格,3998,549,41
714,初級4,昼戦,115,SMG,スオミ,100,0,10,0,T外骨格,ホローポイント弾,ドットサイト,6085,547,42
714,初級4,昼戦,126,HG,NZ75,150,1,10,0,専用装備,ホローポイント弾,X外骨格,3973,546,43
714,初級4,昼戦,242,HG,P22,150,1,10,0,サイレンサー,ホローポイント弾,X外骨格,3957,544,44
