ID,図鑑番号,レアリティ,人形,サイズ,レベル,累計経験値,現在経験値,必要経験値,リンク数,開発,解析,最大HP,HP,スキル1,スキル2,スキル3,スキル4,チップ1 ID,チップ1,チップ2 ID,チップ2,好感度,誓約,誓約日,ロック
2418719,1001,★★★,スケアクロウ,,30,33000,600,2700,x1,★★★,,645,645,2,1,1,0,1003,奇襲行動,0,,50,,,ロック
2418720,2003,★★,イージス,M,1,0,0,100,x1,★★,,122,122,0,0,1,0,0,,0,,50,,,ロック
2418747,3006,★,ダイナーゲート,M,1,0,0,100,x3,★,◆◆,94,94,0,0,0,0,0,,0,,50,,,ロック
2418752,3001,★,リッパー,L,1,0,0,100,x3,★,◆◆,245,245,0,0,0,0,0,,0,,50,,,
2418756,3010,★,ゴリアテ工場,M,13,6000,200,800,x1,★★,,696,696,0,0,0,0,0,,0,,50,,,ロック
2418757,3003,★,ガード,L,1,0,0,100,x3,★,◆◆,330,330,0,0,0,0,0,,0,,50,,,ロック
2418762,3007,★,スカウト,M,1,0,0,100,x1,★,,62,62,0,0,0,0,0,,0,,50,,,ロック
2418768,3004,★,イェーガー,M,1,0,0,100,x2,★,◆,106,106,0,0,0,0,0,,0,,50,,,ロック
2418796,3005,★,ストライカー,M,1,0,0,100,x3,★,◆◆,194,194,0,0,0,0,0,,0,,50,,,ロック
2419527,3009,★,ジャガー,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,ロック
2425529,3007,★,スカウト,M,1,0,0,100,x1,★,,62,62,0,0,0,0,0,,0,,50,,,
2427031,3008,★,プラウラー,M,1,0,0,100,x1,★,,74,74,0,0,0,0,0,,0,,50,,,ロック
2427032,3003,★,ガード,M,1,0,0,100,x1,★,,110,110,0,0,0,0,0,,0,,50,,,
2430122,3001,★,リッパー,M,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,
2430123,3010,★,ゴリアテ工場,S,1,0,0,100,x1,★,,625,625,0,0,0,0,0,,0,,50,,,
2432535,3005,★,ストライカー,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
2436787,3002,★,ヴェスピド,L,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,ロック
2436788,3005,★,ストライカー,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
2436789,2014,★★,イージスSWAP,XL,1,0,0,100,x1,★★,,160,160,0,0,1,0,0,,0,,50,,,ロック
