ID,図鑑番号,種類,レアリティ,人形,レベル,累計経験値,現在経験値,必要経験値,リンク数,MOD,最大HP,HP,火力,命中,回避,射速,移動速度,防御,弾約数,会心率,スキル1,スキル2,装備1,装備2,装備3,好感度,誓約,誓約日,ロック
30250146,2,HG,★★,M1911,36,81070,0,0,x3,,150,150,16,22,32,45,15,0,0,20,1,0,,,,40,,,ロック
30250148,5,HG,★★,M1895,34,68186,0,0,x3,,141,141,18,20,38,34,15,0,0,20,1,0,,,,100,,,ロック
331310735,10,HG,★★,PPK,30,47175,0,0,x3,,111,111,14,23,38,49,15,0,0,20,1,0,,,,50,,,ロック
331310744,29,SMG,★★★,ステンMK-II,91,2183778,0,0,x4,,708,708,24,14,69,76,12,0,0,5,1,0,IOP X3外骨格,,,51,,,ロック
331312737,94,SMG,★★,64式,23,25575,0,0,x2,,216,216,15,4,22,72,12,0,0,5,1,0,,,,50,,,ロック
331323295,54,AR,★★★★,M16A1,91,2198983,0,0,x5,,580,580,45,42,41,73,10,0,0,20,1,0,JSP高速弾,Type3防弾ベスト,IOP T4外骨格,82,,,ロック
331366611,198,RF,★★★★★,カルカノ M91/38,90,2083546,0,0,x5,,345,345,136,82,40,33,7,0,0,40,10,0,Mk211徹甲榴弾,PSO-1,熱光学迷彩マント,67,,,ロック
331385439,242,HG,★★★★★,P22,97,2871895,0,0,x5,,345,345,28,64,107,62,15,0,0,20,7,0,,,,83,,,ロック
331424626,1,HG,★★★★,コルトSAA,98,3048009,0,0,x5,,395,395,35,48,75,47,15,0,0,20,4,0,AC1サイレンサー,,,98,,,ロック
331424627,162,SG,★★★★,SPAS-12,65,544400,0,0,x3,,681,681,26,8,7,29,6,15,4,40,1,0,,,,51,,,ロック
331427142,197,RF,★★★★★,カルカノ M1891,1,0,0,0,x1,,40,40,45,9,5,22,7,0,0,40,1,0,,,,50,,,ロック
331427159,247,RF,★★★★,K31,90,2050985,0,0,x5,,370,370,118,71,34,38,7,0,0,40,8,0,Mk169M63徹甲弾,LRA 2-12x50,熱光学迷彩マント,67,,,ロック
331448580,324,SG,★★★★★,M6 ASW,1,0,0,0,x1,,130,130,14,2,2,19,6,3,4,40,1,0,,,,50,,,ロック
331472221,8,HG,★★★,マカロフ,1,0,0,0,x1,,32,32,9,7,11,40,15,0,0,20,1,0,,,,50,,,ロック
331527947,342,AR,★★★★★,KH2002,1,0,0,0,x1,,66,66,19,7,5,53,10,0,0,20,1,0,,,,50,,,ロック
331561634,345,MG,★★★★★,MG338,81,1306395,0,0,x4,,628,628,91,22,22,117,4,0,9,5,10,0,,,,75,,,ロック
331677326,233,HG,★★★★★,Px4 ストーム,1,0,0,0,x1,,34,34,12,8,11,37,15,0,0,20,1,0,,,,50,,,ロック
331695147,341,SMG,★★★★★,SP9,1,0,0,0,x1,,110,110,10,2,8,59,12,0,0,5,1,0,,,,50,,,ロック
331845417,26,SMG,★★★★,Gr MP5,1,0,0,0,x1,,84,84,12,2,10,63,12,0,0,5,1,0,,,,50,,,ロック
331913462,39,RF,★★★★,モシン・ナガン,1,0,0,0,x1,,44,44,45,10,5,20,7,0,0,40,1,0,,,,50,,,ロック
