ID,図鑑番号,種類,レアリティ,装備,装備人形 ID,装備人形,火力,命中,回避,移動速度,射速,会心率,会心ダメージ,破甲,防御,シールド,被害増幅,被害軽減,暗視能力,弾薬数,装備経験値,強化レベル,EQUIP_INFO_ADJUST_MAX,校正回数,ロック
71257173,31,高速弾,★★★★,JHP高速弾,331314785,M4A1 Mod,5.6910,-,-,-,-,-,-,-,-,-,-,-,-,-,150,1,,0,
71257784,2,オプティカル,★★★,LRA 2-12x50,331426177,RO635,-,-,-,-,-,10.1808%,-,-,-,-,-,-,-,-,0,0,,0,
71258888,56,X外骨格,★★★,IOP X2外骨格,331314785,M4A1 Mod,-,-,5,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,
71258889,64,サイレンサー,★★★,AC2サイレンサー,331537642,M950A,-,-,3,-,-,8%,-,-,-,-,-,-,-,-,1,0,MAX,0,
71258892,64,サイレンサー,★★★,AC2サイレンサー,-,-,-,-,3,-,-,8%,-,-,-,-,-,-,-,-,301,3,MAX,0,
71275019,31,高速弾,★★★★,JHP高速弾,-,-,5.7294,-,-,-,-,-,-,-,-,-,-,-,-,-,100,1,,0,
71278009,226,狙撃弾,★★★★,M33狙撃弾,331511045,ルイス,1.9870,-,-,-,-,-,-,53.5940,-,-,-,-,-,-,0,0,,0,
71284613,56,X外骨格,★★★,IOP X2外骨格,-,-,-,-,4.1655,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71284657,38,T外骨格,★★★,IOP T2外骨格,331537642,M950A,-3.9162,-,10.5148,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71284802,18,徹甲弾,★★★,M993徹甲弾,331312595,NTW-20,-,-,-,-,-,-,-,75,-,-,-,-,-,-,1,0,MAX,0,
71284803,56,X外骨格,★★★,IOP X2外骨格,331312561,スコーピオン,-,-,5,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,
71284804,64,サイレンサー,★★★,AC2サイレンサー,-,-,-,-,3,-,-,8%,-,-,-,-,-,-,-,-,1,0,MAX,0,
71284805,38,T外骨格,★★★,IOP T2外骨格,331426177,RO635,-3,-,12,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,
71284806,19,徹甲弾,★★★★,Mk169M63徹甲弾,331366206,LWMMG,-,-,-,-,-,-,-,100,-,-,-,-,-,-,1,0,MAX,0,
71284807,19,徹甲弾,★★★★,Mk169M63徹甲弾,331427159,K31,-,-,-,-,-,-,-,100,-,-,-,-,-,-,1,0,MAX,0,
71284808,57,X外骨格,★★★★,IOP X3外骨格,331310744,ステンMK-II,-,-,7,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,
71284811,19,徹甲弾,★★★★,Mk169M63徹甲弾,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,1,0,MAX,0,
71284812,2,オプティカル,★★★,LRA 2-12x50,331511045,ルイス,-,-,-,-,-,12%,-,-,-,-,-,-,-,-,1,0,MAX,0,
71284816,3,オプティカル,★★★★,PSO-1,-,-,-,-,-,-,-,16%,-,-,-,-,-,-,-,-,1,0,MAX,0,
71308132,249,専用装備,★★★★★,SR3カスタムサイレンサー,-,-,6.0000,10.0000,10.0000,-,-,-,-,-,-,-,-,-,-,-,1,0,MAX,0,ロック
71310396,4,オプティカル,★★★★★,VFL 6-24X56,331319983,ST AR-15 Mod,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,5,ロック
71332143,71,ホローポイント弾,★★★★,ILMホローポイント弾,331312561,スコーピオン,4.5152,-,-,-,-,-,-,-5.8512,-,-,-,-,-,-,0,0,,0,
71332144,71,ホローポイント弾,★★★★,ILMホローポイント弾,331426177,RO635,4.9934,-,-,-,-,-,-,-4.2284,-,-,-,-,-,-,0,0,,0,
71332799,38,T外骨格,★★★,IOP T2外骨格,331312446,SP9,-3.4722,-,10.794,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71333819,18,徹甲弾,★★★,M993徹甲弾,331383332,SSG3000,-,-,-,-,-,-,-,66.8130,-,-,-,-,-,-,0,0,,0,
71333990,2,オプティカル,★★★,LRA 2-12x50,331427159,K31,-,-,-,-,-,11.1234%,-,-,-,-,-,-,-,-,0,0,,0,
71334008,43,防弾ベスト,★★★★,Type2防弾ベスト,331563660,LTLX7000,-,-,-1,-,-,-,-,-,5,-,-,-,-,-,1,0,MAX,0,
71334009,65,サイレンサー,★★★★,AC3サイレンサー,331312446,SP9,-,-,5,-,-,11%,-,-,-,-,-,-,-,-,1,0,MAX,0,
71334012,71,ホローポイント弾,★★★★,ILMホローポイント弾,331312446,SP9,6,-,-,-,-,-,-,-4,-,-,-,-,-,-,1,0,MAX,0,
71334014,19,徹甲弾,★★★★,Mk169M63徹甲弾,331424628,スプリングフィールド,-,-,-,-,-,-,-,100,-,-,-,-,-,-,1,0,MAX,0,
71334015,3,オプティカル,★★★★,PSO-1,331366611,カルカノ M91/38,-,-,-,-,-,16%,-,-,-,-,-,-,-,-,1,0,MAX,0,
71334016,16,暗視装備,★★★★★,PEQ-16A,331319983,ST AR-15 Mod,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,1,0,MAX,0,ロック
71334017,20,徹甲弾,★★★★★,Mk211徹甲榴弾,331366611,カルカノ M91/38,-,-,-,-,-,-,-,126,-,-,-,-,-,-,201,1,MAX,0,
71363801,4,オプティカル,★★★★★,VFL 6-24X56,331319982,M4 SOPMOD II Mod,-,-,-,-,-,48%,-,-,-,-,-,-,-,-,10000,10,MAX,6,
71368463,2,オプティカル,★★★,LRA 2-12x50,331424628,スプリングフィールド,-,-,-,-,-,10.4136%,-,-,-,-,-,-,-,-,0,0,,0,
71371653,2,オプティカル,★★★,LRA 2-12x50,331312595,NTW-20,-,-,-,-,-,10.4982%,-,-,-,-,-,-,-,-,0,0,,0,
71374790,2,オプティカル,★★★,LRA 2-12x50,331366206,LWMMG,-,-,-,-,-,9.1569%,-,-,-,-,-,-,-,-,0,0,,0,
71380452,30,高速弾,★★★,JSP高速弾,331323295,M16A1,3.9632,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71402678,231,バードショット,★★★★★,#7.5バードショット,-,-,-,-,-,-,7.9384,-,-17.1390%,-,-,-,-,-,-,-,1,0,,0,ロック
71419270,32,高速弾,★★★★★,APCR高速弾,331319983,ST AR-15 Mod,20,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,2,ロック
71426069,221,専用装備,★★★★★,レールガンバレット,-,-,2.0599,-,-,-,-,-,-,113.3020,-,-,-,-,-,-,1,0,,0,ロック
71433181,40,T外骨格,★★★★★,IOP T4外骨格,331323295,M16A1,-7.0,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,,7,
71433212,44,防弾ベスト,★★★★★,Type3防弾ベスト,331323295,M16A1,-,-,-3,-,-,-,-,-,11,-,-,-,-,-,10000,10,,1,
71439872,32,高速弾,★★★★★,APCR高速弾,331319982,M4 SOPMOD II Mod,20,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,MAX,6,
71448041,88,カモフラージュマント,★★★,カモフラージュマント,-,-,-,-,-,-3.0000,-,-,6.3174%,-,-,-,-,-,-,-,0,0,,0,
71448921,88,カモフラージュマント,★★★,カモフラージュマント,-,-,-,-,-,-3.0000,-,-,5.7004%,-,-,-,-,-,-,-,0,0,,0,
71448922,88,カモフラージュマント,★★★,カモフラージュマント,-,-,-,-,-,-3.0000,-,-,5.0822%,-,-,-,-,-,-,-,0,0,,0,
71448927,7,ホロサイト,★★★★,EOT 516,-,-,2.2661,3.5226,-,-,-3.6984,-,-,-,-,-,-,-,-,-,0,0,,0,
71448931,6,ホロサイト,★★★,EOT 512,-,-,1.3555,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71448932,6,ホロサイト,★★★,EOT 512,-,-,1.2459,2.000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71448945,7,ホロサイト,★★★★,EOT 516,-,-,2.2895,3.848,-,-,-3.6048,-,-,-,-,-,-,-,-,-,0,0,,0,
71448946,7,ホロサイト,★★★★,EOT 516,-,-,2.0085,4.692,-,-,-3.693,-,-,-,-,-,-,-,-,-,0,0,,0,
71448954,7,ホロサイト,★★★★,EOT 516,-,-,2.1473,3.9234,-,-,-3.4498,-,-,-,-,-,-,-,-,-,0,0,,0,
71448955,6,ホロサイト,★★★,EOT 512,-,-,1.2389,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71448960,7,ホロサイト,★★★★,EOT 516,-,-,2.1325,3.6926,-,-,-3.2261,-,-,-,-,-,-,-,-,-,0,0,,0,
71448964,6,ホロサイト,★★★,EOT 512,-,-,1.3673,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71448965,6,ホロサイト,★★★,EOT 512,-,-,1.2683,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71448966,7,ホロサイト,★★★★,EOT 516,-,-,2.4646,3.8538,-,-,-3.8979,-,-,-,-,-,-,-,-,-,0,0,,0,
71448969,7,ホロサイト,★★★★,EOT 516,-,-,2.4232,3.6184,-,-,-3.6474,-,-,-,-,-,-,-,-,-,0,0,,0,
71448973,6,ホロサイト,★★★,EOT 512,-,-,1.3046,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71448974,6,ホロサイト,★★★,EOT 512,-,-,1.4294,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71477761,88,カモフラージュマント,★★★,カモフラージュマント,-,-,-,-,-,-3.0000,-,-,6.4142%,-,-,-,-,-,-,-,0,0,,0,
71483625,259,専用装備,★★★★★,古びた迷彩服,-,-,-,-,-,-,-,-,23.740%,-,-,-,-,-,-,-,1,0,,0,ロック
71485787,90,カモフラージュマント,★★★★★,熱光学迷彩マント,331427159,K31,-,-,-,-3.0000,-,-,13.7596%,-,-,-,-,-,-,-,0,0,,0,ロック
71485788,88,カモフラージュマント,★★★,カモフラージュマント,-,-,-,-,-,-3.0000,-,-,5.52%,-,-,-,-,-,-,-,0,0,,0,
71493676,88,カモフラージュマント,★★★,カモフラージュマント,-,-,-,-,-,-3.0000,-,-,5.3664%,-,-,-,-,-,-,-,0,0,,0,
71495768,278,専用装備,★★★★★,P22レーザーポインター,-,-,-,-,8.2414,-,-,12.0705%,-,-,-,-,-,-,-,-,1,0,,0,ロック
71498054,89,カモフラージュマント,★★★★,都市迷彩マント,-,-,-,-,-,-3.0000,-,-,8.8252%,-,-,-,-,-,-,-,0,0,,0,
71500370,88,カモフラージュマント,★★★,カモフラージュマント,-,-,-,-,-,-3.0000,-,-,5.4284%,-,-,-,-,-,-,-,0,0,,0,
71500372,90,カモフラージュマント,★★★★★,熱光学迷彩マント,331366611,カルカノ M91/38,-,-,-,-3.0000,-,-,15.4085%,-,-,-,-,-,-,-,1050,3,,0,
71504062,6,ホロサイト,★★★,EOT 512,-,-,1.0959,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71504063,6,ホロサイト,★★★,EOT 512,-,-,1.6342,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
71512654,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,2.1824,-,-,-,3.8168,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
71512655,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,2.4444,-,-,-,3.6944,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
71512656,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,1.8016,-,-,-,3.4254,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
71512657,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,1.9986,-,-,-,3.3672,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
71513476,89,カモフラージュマント,★★★★,都市迷彩マント,-,-,-,-,-,-3.0000,-,-,8.474%,-,-,-,-,-,-,-,0,0,,0,
71513477,310,測距儀,★★★★,M1050 LRF,-,-,1.6852,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71513478,18,徹甲弾,★★★,M993徹甲弾,-,-,-,-,-,-,-,-,-,68.2040,-,-,-,-,-,-,0,0,,0,
71514263,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
71514264,10,ドットサイト,★★★,AMP COMPM4,-,-,-,4.3754,-,-,-1.4087,-,-,-,-,-,-,-,-,-,0,0,,0,
71514265,14,暗視装備,★★★,PEQ-5,331314785,M4A1 Mod,-,-,-,-,-,-,-,-,-,-,-,-,66.7105%,-,0,0,,0,
71519209,63,サイレンサー,★★,AC1サイレンサー,331424626,コルトSAA,-,-,2.0000,-,-,4.4743%,-,-,-,-,-,-,-,-,0,0,,0,
71519210,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,1.5190,-,-,-,3.7894,-,-50.000%,-,-,-,-,-,-,-,0,0,,0,
71521490,232,チップ,★★★,エクスペリメンタル・プロセッサ,-,-,2.0656,-,-,-,3.0602,-,-50.0000%,-,-,-,-,-,-,-,0,0,,0,
71521492,42,防弾ベスト,★★★,Type1防弾ベスト,-,-,-,-,-1.0000,-,-,-,-,-,3.0000,-,-,-,-,-,0,0,MAX,0,
71525136,222,レッドサイト,★★★,RMRレッドサイト,-,-,-,3.6902,-,-,-,6.5054%,-,-,-,-,-,-,-,-,0,0,,0,
71525137,222,レッドサイト,★★★,RMRレッドサイト,-,-,-,3.9142,-,-,-,5.1197%,-,-,-,-,-,-,-,-,0,0,,0,
71525138,306,チョーク,★★★,Mk3チョーク,-,-,-,1.8692,-,-,-,-,-,-,-,-,-,-,-,1.0000,0,0,,0,
71525139,310,測距儀,★★★★,M1050 LRF,-,-,1.6748,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0,
71525352,6,ホロサイト,★★★,EOT 512,-,-,1.7756,2.0000,-,-,-2.0000,-,-,-,-,-,-,-,-,-,0,0,,0,
