ID,図鑑番号,レアリティ,開発値,レベル,妖精,火力,命中,回避,防御,会心率,天賦,スキル,ロック
1108528,26,★★★★★,3000,100,原型妖精,10.0,10.0,10.0,10.0,0,精確型I,10,ロック
1108657,9,★,0,15,空襲妖精,6.0,10.0,8.0,2.0,0,突撃型,1,
1110925,25,★★★,500,1,双子妖精,3.2,11.2,8.8,2.4,0,殺傷型I,4,ロック
1111694,26,★★★★★,3000,100,原型妖精,10.0,10.0,10.0,10.0,0,防護型I,10,
1114121,24,★★★,600,1,障壁妖精,0.0,14.8,6.4,4.4,0,殺傷型II,1,ロック
1114122,16,★★★,600,1,捜索妖精,7.6,20.0,16.0,0.0,0,突撃型,1,ロック
1114312,30,★★★★★,550,11,魔女妖精,7.2,10.0,10.0,0.0,0,殺傷型I,5,ロック
1117926,5,★★,150,1,防御妖精,4.0,0.0,14.4,3.6,0,先鋒型,1,ロック
1119568,4,★,0,1,守護妖精,4.0,12.0,16.0,0.0,0,必殺型II,1,
1121173,3,★★,300,1,装甲妖精,4.4,0.0,0.0,5.2,0,殺傷型I,1,ロック
1121536,17,★★★,800,1,照明妖精,0.0,20.0,7.2,1.6,0,殺傷型I,2,ロック
1125302,4,★,0,1,守護妖精,4.0,12.0,16.0,0.0,0,照準型,1,
1133096,6,★,0,1,挑発妖精,3.2,10.0,4.8,1.6,0,回避型I,1,
1133569,7,★★,400,1,狙撃妖精,0.0,17.6,5.6,3.2,0,殺傷型II,1,ロック
1133571,9,★,0,1,空襲妖精,4.8,8.0,6.4,1.6,0,回避型I,1,
1133848,15,★,0,1,指揮妖精,8.0,0.0,7.6,2.0,0,必殺型I,1,
1135055,15,★,0,1,指揮妖精,8.0,0.0,7.6,2.0,0,精確型II,1,
1110286,8,★★,400,76,砲撃妖精,24.5,0.0,25.0,3.0,0,激昂型,1,ロック
1120884,6,★,0,1,挑発妖精,3.2,10.0,4.8,1.6,0,回避型II,1,ロック
1113618,26,★★★★★,3000,100,原型妖精,10.0,10.0,10.0,10.0,0,必殺型I,10,
1111645,11,★★,175,12,空挺妖精,6.8,0.0,6.4,1.6,0,殺傷型I,10,ロック
