ID,名称,番号
-1,reg_time,2018-09-01 16:01:08
item-10,代用コア,372
item-31,初級訓練資料,3435
item-32,中級訓練資料,4296
item-33,上級訓練資料,5568
-1,kalina_level,10
-1,kalina_favor,2925
item-1,人形製造契約,104
item-2,装備製造契約,199
item-3,快速製造契約,205
item-4,快速修復契約,505
item-8,快速訓練契約,46
item-9,増幅カプセル,592
item-14,原始サンプル,98
item-15,純正サンプル,1
item-16,快速解析契約,39
item-17,データパッチ,2
item-41,コイン,550
item-44,較正チケット,976
item-45,記憶の欠片,1358
item-46,特種作戦報告書,616
item-47,局地戦区素材,0
item-50,汎用部品,478
item-51,新型射撃管制モジュール,8
item-103,挑戦者勲章,1
item-301,中枢データ：BGM-71,5
item-302,中枢データ：AGS-30,2
item-303,中枢データ：2B14,2
item-304,中枢データ：M2,1
item-305,中枢データ：AT4,0
item-306,中枢データ：QLZ-04,3
item-506,バッテリー,610
item-507,トータル経験値,120000
item-508,友情ポイント,4740
item-509,妖精指令,95
item-514,開発シャーレ,1778
item-515,初級訓練ディスク,6315
item-516,上級訓練ディスク,3775
item-517,指定装備契約,0
item-519,重装部隊汎用データ,3
item-525,快速自律契約,256
item-601,ランダム染色剤,9
item-602,カラー指定染色剤,1
item-603,模擬作戦基礎PE,0
item-604,電子パルス,0
item-605,協力委託書,5
item-606,転移触媒,10
item-1004,L85A1アイコン,1
item-1007,M38アイコン,1
item-1018,Gr G11アイコン,1
item-1020,スオミアイコン,1
item-1046,SVDアイコン,1
item-1228,アイコン：オフィシャル四コマVOL.1,1
item-1941,アイコン：勇敢な騎士,1
item-1942,アイコン：ワイルドハント,1
item-1943,アイコン：バンシィ,1
item-1944,アイコン：ミノムシ,1
item-1945,アイコン：背馳,1
item-1946,アイコン：それぞれの方向,1
item-1947,アイコン：雨夜のウィスキー,1
item-1948,IDカード背景：苦難の道,1
item-1949,IDカード背景：嵐の前,1
item-1950,IDカード背景：花火が咲く夜,1
item-1951,IDカード背景：フェイタルバレット,1
item-1952,IDカード背景：ブラッディナイト,1
item-1953,IDカード背景：落日の刻,1
item-1954,基地背景：倦怠の午後,1
item-2059,アイコン：花を言葉に,1
item-2060,アイコン：視線の先,1
item-2061,アイコン：彼女へのチョコレート,1
item-2062,IDカード背景：夜のココアの香り,1
item-4001,都市の贈り物,445
item-4002,雪原の贈り物,1242
item-4003,森林の贈り物,288
item-4004,荒野の贈り物,253
item-6002,一せいろの肉まん,1
item-6003,プレミアム肉まん,26
item-6004,平民の標準装備,1
item-6005,お一人様大満足セット,0
item-6006,お二人様お幸せセット,11
item-6007,1ピースのチーズケーキ,2
item-6008,ウィークリーケーキセレクト,0
item-6009,スウィーツの宝箱,6
item-6010,「Baby B-A-B-Y.」,7
item-6011,屋台のおでん,3
item-6012,野生蜂蜜セット,6
item-6013,アイス劇場,3
item-10603,模擬作戦超伝導PE,30
item-10604,超伝導パルス,20
item-10605,活躍度,190
item-10606,前線協定パス,640
item-100101,物資箱・回帰定理,0
item-100102,新星勲章・回帰定理,161
item-100103,白金勲章・回帰定理,602
item-100104,真核の仮面・回帰定理,0
item-100134,新星勲章・愛を焙炒,81
item-100135,白金勲章・愛を焙炒,490
item-100136,焙炒カカオ,40
item-110021,イベントポイント,2750
item-110043,イベントポイント,4203935
item-200001,アイコンフレーム：ファンタジアコネクト,1
item-200002,アイコンフレーム：メンタル潮流,1
item-200005,アイコンフレーム：霓の影,1
item-200012,アイコンフレーム：ライフリング,1
item-308,中枢データ:PP93,1
gift-100001,ロリポップ,13
gift-100002,アイスクリーム,4
gift-100003,ショートケーキ,22
gift-200001,作戦報告書,1604
gift-400001,急速成長ディスク,2725
furniture-10101,簡易作業台,1
furniture-10201,素朴な猫用ケージ,1
furniture-10301,質素な犬用ケージ,1
furniture-10401,質素な止まり木,1
furniture-10501,簡素な多機能恒温ボックス,1
furniture-20102,素朴なデスク,2
furniture-20200,埃を被ったコンソール,0
furniture-20300,埃を被った操作ステーション,0
furniture-20501,古いコンピューター,1
furniture-20401,散らかった作業机,1
furniture-20600,埃を被ったテレックス,0
furniture-20700,思い出の本棚,0
furniture-30103,山間要塞,3
furniture-30203,田舎の鉄道模型,3
furniture-30303,臨時倉庫の模型,3
furniture-30403,黒雲の天気システム,3
furniture-40023,コーヒーマシン,0
furniture-40024,レコードプレーヤー,0
furniture-40026,ノート,0
furniture-40027,映写機,0
furniture-40028,本棚,0
furniture-40009,ラフベリーチェス,0
furniture-50107,長波傍受設備,7
furniture-50204,臨時ブリーフィングステーション,4
furniture-50303,初期型磁気ディスク,3
furniture-50408,先進的な大型解析機,8
furniture-60103,保管庫,3
furniture-60202,中型メンテナンス装置,2
furniture-60308,総合室内訓練場,8
furniture-60400,エレベーター-重装兵舎へ,0
furniture-70100,エレベーター-格納庫へ,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-80007,ライブモニター,0
furniture-80011,ブラックマーケット,0
furniture-80108,自動化ゲートコンソール,8
furniture-80304,上級戦利品収納棚,4
furniture-90107,パルス生成炉,7
furniture-90203,戦術チップ開発ステーション,3
furniture-90400,潜在転移駆動装置,0
